Node,Louvain,Leiden,MCGLouvain,MCGLeiden
Andalucía,3,3,1,3
Spain,2,2,2,2
Aragón,2,2,2,2
"Asturias, Principado de",2,2,2,2
"Balears, Illes",3,3,3,3
Canarias,1,1,1,2
Cantabria,1,1,1,1
Castilla y León,3,3,3,3
Castilla - La Mancha,2,2,2,2
Cataluña,1,1,1,1
Comunitat Valenciana,2,2,2,2
Extremadura,3,1,1,1
Galicia,2,2,2,2
"Madrid, Comunidad de",1,1,3,1
"Murcia, Región de",1,1,1,1
"Navarra, Comunidad Foral de",2,2,2,2
País Vasco,2,3,2,3
"Rioja, La",2,2,2,2
Melilla,1,1,1,1
Ceuta,1,1,1,1
